rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,country code,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,,intl_stu_dec,intl_val,stu_val,female,male,stu_rank,stu_rank_a
1,University of Oxford,98.5,10,96.6,5,100,2,99,5,98.7,77,97.5,14,master_account,0,/world-university-rankings/university-oxford,,United Kingdom,"21,750",10.9,42%,49:51:00,University of Oxford,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,,0.42,9135,21750,49,51,764,1909
2,Stanford University,98,20,99,1,97.8,8,99.6,2,100,25,87,167,private,0,/world-university-rankings/stanford-university,,United States,"14,517",6.4,23%,47:53:00,Stanford University,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",FALSE,FALSE,FALSE,,,0.23,3338.91,14517,47,53,1204,1469
3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100,16,93.8,66,private,0,/world-university-rankings/massachusetts-institute-technology,,United States,"11,085",8,33%,41:59:00,Massachusetts Institute of Technology,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,,0.33,3658.05,11085,41,59,1480,1192
4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,private,0,/world-university-rankings/harvard-university,,United States,"20,050",9,25%,51:49:00,Harvard University,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,,0.25,5012.5,20050,51,49,844,1828
5,University of Cambridge,97.5,50,95.8,7,100,1,98,12,87.9,180,97.4,15,master_account,0,/world-university-rankings/university-cambridge,,United Kingdom,"20,565",11.5,38%,48:52:00,University of Cambridge,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113,,0.38,7814.7,20565,48,52,820,1853
6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,135,private,0,/world-university-rankings/princeton-university,,United States,"7,753",7.3,23%,47:53:00,Princeton University,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20795402,,0.23,1783.19,7753,47,53,1829,844
7,California Institute of Technology,96.5,70,96.6,4,98,6,95.9,38,100,2,90.6,123,private,0,/world-university-rankings/california-institute-technology-caltech,,United States,"2,240",6.1,33%,37 : 63,California Institute of Technology caltech,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20537945,,0.33,739.2,2240,37,0,2446,227
8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account,0,/world-university-rankings/imperial-college-london,,United Kingdom,"20,275",11.8,61%,42:58:00,Imperial College London,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114,,0.61,12367.75,20275,42,58,832,1841
9,"University of California, Berkeley",94.6,90,87.2,18,98.8,4,99,4,99.4,63,86.8,171,public,0,/world-university-rankings/university-california-berkeley,,United States,"39,991",17.9,22%,52:48:00,"University of California, Berkeley","Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,,0.22,8798.02,39991,52,48,211,2462
10,Yale University,94.2,100,94,10,94.9,13,97.7,18,86.5,192,82.4,216,private,0,/world-university-rankings/yale-university,,United States,"11,924",5.2,21%,51:49:00,Yale University,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",FALSE,FALSE,FALSE,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889,,0.21,2504.04,11924,51,49,1410,1263
